,date,type,operator,fatalities,location,country,cat,year,is_fatal,decade,severity
17079,01-APR-1992,Boeing 727-260,Ethiopian Airlines,0.0,Aden Internation...,Yemen,H2,1992,0,1990,No Fatalities
17080,01-APR-1992,Antonov An-32,Indian AF,4.0,"near Boothgarh, Ludhi...",India,A1,1992,1,1990,Low Fatalities
17081,01-APR-1992,Antonov An-32,Indian AF,4.0,"near Boothgarh, Ludhi...",India,A1,1992,1,1990,Low Fatalities
17082,04-APR-1992,Let L-410Uvp,Kamchatavia,1.0,near Baykovo,Russia,A1,1992,1,1990,Low Fatalities
17083,07-APR-1992,Antonov An-24Rv,Air Bissau,3.0,near Maaten al-Sarra,Libya,A1,1992,1,1990,Low Fatalities
17084,10-APR-1992,Bn-2A-26 Islander,Taiwan Airlines,7.0,near Orchid Island Ai...,Taiwan,A1,1992,1,1990,Low Fatalities
17085,12-APR-1992,Boeing 727-260,Ethiopian Airlines,0.0,Nairobi-Jomo Ken...,Kenya,H2,1992,0,1990,No Fatalities
17086,14-APR-1992,Embraer Emb-110P1 Bandeirante,Talair,11.0,Goroka Gap,P.N. Guinea,A1,1992,1,1990,Medium Fatalities
17087,14-APR-1992,Antonov An-2P,Tyumenaviatrans,6.146275647879436,Kyshik,Russia,A1,1992,1,1990,Low Fatalities
17088,16-APR-1992,Dhc-5D Buffalo,Kenyan AF,6.146275647879436,near Nairobi-Moi Air ...,Kenya,A1,1992,1,1990,Low Fatalities
17089,22-APR-1992,Dhc-6 Twin Otter 200,Perris Valley Aviation,16.0,Perris Valley Ai...,USA,A1,1992,1,1990,Medium Fatalities
17090,23-APR-1992,Dc-8-55F,Kalitta American International Airways,0.0,Detroit-Willow R...,USA,A2,1992,0,1990,No Fatalities
17091,24-APR-1992,Lockheed C-130H Hercules,USAF,1.0,near Peruvian coast,Pacific Ocean,C1,1992,1,1990,Low Fatalities
17092,25-APR-1992,Boeing 707-324C,TAMPA Colombia,0.0,Miami Internatio...,USA,A2,1992,0,1990,No Fatalities
17093,26-APR-1992,Fokker F-27 Friendship 400M,"Saha Air, lsf Iran AF",39.0,near Saveh,Iran,A1,1992,1,1990,Medium Fatalities
17094,27-APR-1992,Cessna 501 Citation I/Sp,Tradexim SRL,0.0,Lugano Airport (...,Switzerland,A2,1992,0,1990,No Fatalities
17095,28-APR-1992,Lockheed C-130E Hercules,USAF,9.0,Blewett Falls La...,USA,A1,1992,1,1990,Low Fatalities
17096,29-APR-1992,Boeing 707-351C,GAS Air Nigeria,0.0,Ilorin Airport (...,Nigeria,A1,1992,0,1990,No Fatalities
17097,02-MAY-1992,Learjet 35A,TransamÃ©rica TÃ¡xi AÃ©reo,2.0,Cumuatillo Airstrip,Mexico,A1,1992,1,1990,Low Fatalities
17098,06-MAY-1992,Antonov An-2V,Krasnoyarsk Avia,6.146275647879436,near Taymyr Lake,Russia,A1,1992,1,1990,Low Fatalities
17099,09-MAY-1992,Yakovlev Yak-40,Ararat Avia,0.0,Sisian Airport,Armenia,C1,1992,0,1990,No Fatalities
17100,11-MAY-1992,Convair Cv-580,"RG Aviation, op.for Laredo Air",0.0,Opa-locka Airpor...,USA,A1,1992,0,1990,No Fatalities
17101,13-MAY-1992,Yakovlev Yak-40,Lebap Aircompany,0.0,Chardzhou Airpor...,Turkmenistan,A1,1992,0,1990,No Fatalities
17102,16-MAY-1992,Dhc-6 Twin Otter 300,Aerotaca,3.0,rural airstrip n...,Colombia,H2,1992,1,1990,Low Fatalities
17103,23-MAY-1992,Dhc-6 Twin Otter 310,Malaysia Airlines,0.0,Sibu Airport (SBW),Malaysia,A2,1992,0,1990,No Fatalities
17104,29-MAY-1992,Tupolev Tu-154M,Ariana Afghan Airlines,0.0,Kabul Airport (KBL),Afghanistan,C2,1992,0,1990,No Fatalities
17105,29-MAY-1992,Boeing Ec-135J,USAF,0.0,Fayetteville-Pop...,USA,A1,1992,0,1990,No Fatalities
17106,05-JUN-1992,Tupolev Tu-154B,Balkan Bulgarian,0.0,Varna Airport (VAR),Bulgaria,A1,1992,0,1990,No Fatalities
17107,06-JUN-1992,Boeing 737-204,COPA Panama,47.0,near TucutÃ­,Panama,A1,1992,1,1990,Medium Fatalities
17108,07-JUN-1992,Casa C-212 Aviocar 200,"American Eagle, opb Executive Airlines",5.0,near Mayaguez-Eugenio...,Puerto Rico,A1,1992,1,1990,Low Fatalities
17109,07-JUN-1992,Tupolev Tu-154,Aeroflot,1.0,Moscow-Vnukovo A...,Russia,H2,1992,1,1990,Low Fatalities
17110,08-JUN-1992,Beech C99,GP Express,3.0,near Anniston-County ...,USA,A1,1992,1,1990,Low Fatalities
17111,10-JUN-1992,Antonov An-32B,"Aero Pulse, opf UN WFP",0.0,Marromeu Airport...,Mozambique,A1,1992,0,1990,No Fatalities
17112,12-JUN-1992,Learjet 25B,Jet Charter Group,2.0,"Sheboygan Falls, WI",USA,A1,1992,1,1990,Low Fatalities
17113,16-JUN-1992,Beech 200 Super King Air,Omega Air Inc,4.0,Wilmington Airpo...,USA,A1,1992,1,1990,Low Fatalities
